t,x,err
54184,-0.00043627,0.00092781
54185,0.00055095,0.00051611
54186,-0.00046673,0.00046705
54187,0.00151610,0.00063112
54188,-0.00015998,0.00068542
54189,-0.00003077,0.00065558
54190,0.00177124,0.00059211
54191,-0.00093716,0.00080244
54192,0.00076918,0.00058077
54193,0.00162009,0.00581377
54194,0.00067619,0.00060279
54195,-0.00091971,0.00065889
54196,0.00020733,0.00055226
54197,-0.00008109,0.00061216
54198,0.00126279,0.00073008
54199,0.00079419,0.00112095
54200,0.00144768,0.00073464
54201,0.00035394,0.00064744
54202,0.00050448,0.00057676
54203,0.00097592,0.00050906
54204,0.00084222,0.00052302
54205,0.00014081,0.00054892
54206,0.00048062,0.00056141
54207,0.00192755,0.00054081
54208,0.00102647,0.00063636
54209,0.00018640,0.00042766
54210,-0.00020624,0.00064452
54211,0.00040849,0.00051894
54212,0.00042446,0.00057294
54213,0.00107573,0.00077422
54214,-0.00022508,0.00142689
54215,0.00024916,0.00046391
54216,0.00048311,0.00049294
54217,0.00083486,0.00054789
54218,0.00137023,0.00048497
54219,0.00044654,0.00057115
54220,0.00002794,0.00073552
54221,-0.00317384,0.00218069
54222,0.00033016,0.00065021
54223,0.00017454,0.00063609
54224,-0.00076410,0.00067322
54225,0.00021274,0.00078155
54226,-0.00020956,0.00134434
54227,-0.00062822,0.00076156
54228,-0.00094699,0.00149011
54229,-0.00039639,0.00108404
54230,0.00033494,0.00081627
54231,0.00101490,0.00093844
54232,0.00091588,0.00079995
54233,-0.00045981,0.00059878
54234,-0.00020069,0.00067123
54235,-0.00057862,0.00125074
54236,-0.00138841,0.00088816
54237,-0.00075286,0.00098975
54238,-0.00016578,0.00085489
54239,-0.00016462,0.00089809
54240,-0.00160931,0.00085939
54241,-0.00025363,0.00070334
54242,0.00025028,0.00083831
54243,0.00142079,0.00085974
54244,0.00113662,0.00080235
54245,0.00004761,0.00074900
54246,0.00050140,0.00071012
54247,0.00084697,0.00067191
54248,0.00046323,0.00062412
54249,-0.00049326,0.00074715
54250,0.00085103,0.00081846
54251,-0.00130449,0.00093428
54252,-0.00072696,0.00053227
54253,0.00019694,0.00058320
54254,-0.00019038,0.00072203
54255,-0.00051198,0.00082998
54256,-0.00000580,0.00118773
54257,-0.00215035,0.00126639
54258,-0.00120560,0.00090181
54259,-0.00042726,0.00069680
54260,-0.00103110,0.00087933
54261,-0.00007367,0.00111140
54262,0.00045057,0.00084336
54263,0.00101159,0.00060843
54264,0.00089675,0.00113345
54265,-0.00025292,0.00096303
54266,0.00023611,0.00076730
54267,-0.00045197,0.00071398
54268,0.00175946,0.00185080
54269,-0.00008014,0.00110297
54271,0.00116570,0.00125858
54272,-0.00079476,0.00124052
54273,0.00039215,0.00088839
54274,-0.00119429,0.00233871
54275,0.00071762,0.00101023
54276,0.00058394,0.00126203
54277,-0.00054223,0.00111110
54278,0.00021562,0.00079296
54279,-0.00244833,0.00134995
54280,0.00221885,0.00088834
54281,0.00035859,0.00124978
