t,x,error
56677.6562,0.000350735383,6.73473769E-05
56684.6562,0.00030868809,5.00145434E-05
56691.6562,0.000215891283,6.85738560E-05
56698.6562,0.000652450486,1.26802974E-04
56705.6562,0.000199922331,5.96570244E-05
56712.6562,0.000583211309,1.73534921E-04
56719.6562,0.000326779322,8.67092240E-05
56726.6562,0.000334011769,7.23516787E-05
56733.6562,0.000403008831,1.00065139E-04
56740.6562,0.000354142569,6.95185154E-05
56747.6562,0.000584722089,8.19977577E-05
56754.6562,0.000661660451,1.12046924E-04
56761.6562,0.000695825496,1.21150813E-04
56768.6562,0.000807381643,1.17574018E-04
56775.6562,0.000502572977,6.91701862E-05
56782.6562,0.000425883743,8.64340254E-05
56789.6562,0.000298358267,1.12012363E-04
56796.6562,0.000305878319,3.13949597E-04
56803.6562,0.000433375273,9.51861948E-05
56810.6562,0.000370909169,1.06222200E-04
56817.6562,0.000212053026,9.99594558E-05
56824.6562,0.000116831477,2.75562779E-05
56831.6562,0.000405367697,8.12287835E-05
56838.6562,0.00020739538,5.57663116E-05
56845.6562,0.000311619049,7.21865508E-05
56852.6562,0.000359824335,7.25556529E-05
56859.6562,0.000353116367,4.58011527E-05
56866.6562,0.000186182064,4.26696679E-05
56873.6562,0.00016666179,8.97831414E-05
56880.6562,3.88839653E-05,8.44307360E-05
56887.6562,1.1428413E-05,1.65438578E-05
56894.6562,0.000121305537,3.34498065E-04
56901.6562,0.000228444711,5.19127752E-05
56908.6562,0.000498249137,8.52946032E-05
56915.6562,0.000551185454,1.09264271E-04
56922.6562,0.000441419368,8.97564096E-05
56929.6562,0.000450601889,1.21058336E-04
56936.6562,0.000431020133,1.50672538E-04
56943.6562,0.000405394181,9.32796538E-05
56950.6562,0.00064700644,1.21085381E-04
56957.6562,0.000290564378,9.32071562E-05
56964.6562,0.000297945546,6.63475512E-05
56971.6562,0.000633329386,1.16112329E-04
56978.6562,0.000580974796,9.76325900E-05
56985.6562,0.000880218286,2.66081566E-04
56992.6562,0.00066792022,1.63634075E-04
56999.6562,0.000467788981,7.80621631E-05
57006.6562,0.000442782301,7.38551462E-05
57013.6562,0.000467763166,8.53133606E-05
57020.6562,0.000307752576,3.92525762E-05
57027.6562,0.000307298556,6.63021856E-05
57034.6562,0.000438864226,8.78661886E-05
57041.6562,0.000292703655,8.18490589E-05
57048.6562,0.000222442759,4.80733761E-05
57055.6562,0.000199894217,6.68444263E-05
57062.6562,0.000427586085,9.13988770E-05
57069.6562,0.000324117747,6.82306127E-05
57076.6562,0.000271189056,8.07432589E-05
57083.6562,0.000247649179,4.66050551E-05
57090.6562,0.000481704948,8.94242257E-05
57097.6562,0.000321965344,7.93844883E-05
57104.6562,0.000451552565,1.00044781E-04
57111.6562,0.000436790579,1.01067846E-04
57118.6562,0.00059167546,1.02829545E-04
57125.6562,0.000288433803,6.56088159E-05
57132.6562,0.00039425437,7.53938657E-05
57139.6562,0.000475222332,8.88269424E-05
57146.6562,0.000314278179,7.53485801E-05
57153.6562,0.000165354199,4.39358591E-05
57160.6562,0.000219654539,4.51523774E-05
57167.6562,0.000394413772,7.09531887E-05
57174.6562,0.000358937512,8.35906176E-05
57181.6562,0.000365952903,6.51213413E-05
57188.6562,0.00045659134,9.15551791E-05
57195.6562,0.000570079894,1.12083901E-04
57202.6562,0.000748234568,3.68586334E-04
57209.6562,0.000619751867,1.11852336E-04
57216.6562,0.000413839647,7.59470859E-05
57223.6562,0.000372694689,7.00060191E-05
57230.6562,0.00061189261,1.05278668E-04
57237.6562,0.000410230859,5.58702741E-05
57244.6562,0.000689935987,1.13042210E-04
57251.6562,0.00050724193,8.98353101E-05
57258.6562,0.000308139599,7.82301431E-05
57265.6562,0.000248722121,6.44061729E-05
57272.6562,0.000383393723,7.51826301E-05
57279.6562,0.000399229466,8.62410379E-05
57286.6562,0.000392391055,8.12116268E-05
57293.6562,0.000383418519,7.12263864E-05
57300.6562,0.00033254252,6.36284894E-05
57307.6562,0.000249725214,5.71722667E-05
57314.6562,0.000335295743,8.09748453E-05
57321.6562,0.000176018104,3.15814432E-05
57328.6562,0.00025485683,5.77656938E-05
57335.6562,0.000324988272,8.02385766E-05
57342.6562,0.000200765891,4.54976143E-05
57349.6562,0.000216504763,6.48283094E-05
57356.6562,0.000344113098,7.63283533E-05
57363.6562,0.000143839512,9.01563544E-05
57370.6562,0.0004746138,,9.72815615E-05
57377.6562,0.000315181707,5.90898999E-05
57384.6562,0.000434908288,7.27148290E-05
57391.6562,0.000594324549,1.06826854E-04
57398.6562,0.000652035698,1.32579749E-04
57405.6562,0.000628965441,1.14341834E-04
57412.6562,0.00021714071,4.86617682E-05
57419.6562,0.000270873337,6.24673849E-05
57426.6562,0.000320499646,6.51490336E-05
57433.6562,0.000284099195,1.44903854E-04
57440.6562,0.000482428499,1.00817524E-04
57447.6562,0.000305949303,6.69917354E-05
57454.6562,0.000329453207,8.34650491E-05
57461.6562,0.000223988784,6.23667947E-05
57468.6562,0.000223204785,5.84162481E-05
57475.6562,0.000217409426,5.11762446E-05
57482.6562,0.000175234178,5.71850214E-05
57489.6562,0.000163878693,5.00964488E-05
57496.6562,0.000244249648,5.86350907E-05
57503.6562,0.00025373837,5.45449911E-05
57510.6562,0.000122407946,2.93025096E-05
57517.6562,0.000355538359,5.92649667E-05
57524.6562,0.00050805707,1.26909261E-04
57531.6562,0.000367051049,7.94270672E-05
57538.6562,0.000194953449,5.30835387E-05
57545.6562,0.000494437118,1.23337377E-04
57552.6562,0.000408516498,8.28694101E-05
57559.6562,0.00021365362,5.38392997E-05
