t,x,err
57174.036506,54.22015,0.24234
57175.365531,41.14826,0.22627
57176.439707,34.91267,0.29865
57178.887957,40.01265,0.39826
57181.892879,8.87725,0.11983
57182.486410,19.65758,0.18255
57184.895814,23.24961,0.23224
57189.002760,50.09075,2.05110
57189.008459,56.98426,0.28012
57190.948288,51.12146,0.24167
57193.229735,19.95001,0.11810
57193.927631,16.36925,0.12795
57194.933296,9.79417,0.10084
57197.927129,40.67339,0.24147
57364.436477,6.90718,0.08945
57367.493047,20.28045,0.15450
57370.422289,48.85752,0.22442
57373.480898,42.68360,0.21468
57374.576631,28.79375,0.07372
57375.546927,27.76233,0.08383
57376.237219,25.35572,0.12502
57376.504097,24.16550,0.07374
57377.635838,35.78134,0.15152
57378.491345,29.47707,0.13092
57379.492036,29.37019,0.17334
57380.797631,33.81281,0.19148
57381.525750,28.71531,0.17171
57382.858077,35.05227,0.19630
57383.125560,40.29746,0.21092
57385.054918,30.70623,0.19263
57386.506048,65.84093,0.26890
57387.770198,67.04934,0.28269
57388.568458,45.85648,0.24823
57389.633124,43.40969,0.21853
57390.696588,50.88742,0.22765
57391.561683,59.41559,0.25958
57391.974489,43.11253,0.55050
57392.172941,58.36011,0.27719
57393.690834,47.63471,0.24777
57394.201810,44.49692,0.22787
57394.427084,40.95557,0.23234
57395.491703,33.33662,0.18595
57396.160059,40.54768,0.22194
57397.478653,37.30739,0.21180
57398.222889,42.14331,0.21828
57400.215329,42.01642,0.21668
57400.409195,39.99641,0.20896
57402.209666,34.19604,0.19957
57403.399846,37.43353,0.20586
57404.139649,37.38181,0.24955
57405.454511,23.40888,0.32678
57408.195898,39.19753,0.22855
57412.915301,15.64954,0.34063
57414.095258,19.15847,0.15464
57416.426847,39.40961,0.28499
57418.027778,35.39853,0.19994
57420.142378,40.56479,0.22291
57424.329967,13.69588,0.12586
57425.260301,13.29707,0.14200
57426.192209,22.46006,0.14712
57426.457142,20.12550,0.14540
57428.317619,23.48163,0.16011
57430.179705,9.72118,0.11803
57430.316760,9.14518,0.10732
57432.309393,13.57157,0.11816
57434.075722,12.50678,0.16050
57436.192855,13.72767,0.12493
57438.222686,14.36285,0.15095
57451.271542,12.56992,0.13352
57453.061751,11.94724,0.11968
57453.315974,11.00706,0.12594
57455.310468,11.27079,0.13823
57457.302493,8.66630,0.10790
57459.908526,7.89819,0.09488
57460.962853,13.51101,0.14901
57473.994175,12.97508,0.12263
57476.243381,27.25584,0.19609
57477.979105,30.47196,0.18873
57478.171159,33.23020,0.18061
57480.271646,32.12643,0.19732
57482.024654,24.61042,0.18873
57482.291641,22.82117,0.15614
57484.218844,22.38986,0.16238
57485.919283,24.69440,0.23786
57487.923909,25.60795,0.18426
57489.918452,20.67433,0.16259
57491.910532,19.53409,0.14042
57499.777392,16.34437,0.35493
57505.966936,26.74295,0.16893
57506.961489,27.83988,0.17504
57509.948657,34.04363,0.20098
57511.936808,21.85801,0.16206
57513.941951,16.32384,0.14434
57515.923720,21.51158,0.15602
57517.921492,21.52283,0.15088
57519.920077,21.32907,0.16389
57520.979259,15.74879,0.13932
57527.650853,21.55593,0.16745
57534.600278,50.25607,0.21800
57538.256661,34.52679,0.27181
57541.246205,33.14307,0.18935
57542.903848,30.18152,0.44198
57544.782812,21.04625,0.16963
57546.328534,38.86709,0.20661
57548.492163,92.78644,0.31977
57549.629140,77.93140,0.29821
57550.416894,32.49097,0.18991
57550.831235,33.00024,0.19024
57551.285452,33.05002,0.22683
57551.827361,44.11794,0.23245
57555.014110,33.41425,0.20020
57717.247170,9.18731,0.10804
57719.836798,8.29002,0.10306
57721.260696,7.69091,0.09976
57723.253861,7.02017,0.08917
57724.448303,8.69241,0.10490
57725.256165,10.89437,0.10753
57726.442510,12.92056,0.12874
57727.252866,12.88435,0.11669
57728.501247,10.87441,0.11691
57729.245193,9.26830,0.09375
57730.428142,7.28571,0.08772
57731.290895,9.50675,0.11281
57732.486137,6.64176,0.09018
57733.217308,9.42540,0.09918
57735.210605,7.94014,0.09332
57737.002760,8.31242,0.72948
57737.008453,8.57992,0.11058
57739.927523,12.98702,0.19536
57744.160873,16.09343,0.13771
57744.580470,16.50385,0.13191
57747.277084,20.13977,0.15135
57749.213530,21.83551,0.18887
57749.503266,22.09168,0.16785
57751.275354,22.17088,0.17941
57753.200327,29.97368,0.17285
57754.484594,35.69569,0.20129
57755.228819,36.65051,0.21177
57756.158947,25.67344,0.17023
57757.311202,32.98616,0.07956
57758.142513,32.33778,0.62891
57759.143578,52.54919,0.27192
57760.112203,54.40350,0.17749
57761.490039,52.70087,0.27860
57763.265208,40.61627,0.21525
57765.362139,27.00813,0.13802
57772.036589,31.41603,0.17613
57774.361118,28.28890,0.16999
57776.206888,23.34705,0.19696
57778.533956,26.08802,0.20113
57780.192539,21.87273,0.18954
57782.185690,10.36618,0.11611
57784.181592,20.96443,0.23293
57784.985126,32.23936,0.18806
57785.041930,36.78922,0.24782
57785.107914,34.56632,0.22454
57785.173556,35.33966,0.22534
57785.240213,33.58354,0.26280
57785.307576,35.31372,0.20590
